"term","nss.1987","nss.1988","nss.1990","nss.1991","nss.1993","nss.1994","nss.1995","nss.1996","nss.1997","nss.1998","nss.1999","nss.2001","nss.2002","nss.2006","nss.2010","nss.2015","termc"
"clear",16,16,6,15,5,11,16,21,11,17,19,20,6,8,13,8,"clear"
"clearcut",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"clearcut"
"clearer",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"clearer"
"clearest",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"clearest"
"clearey",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,"cleareyed"
"clearincreas",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"clearincreased"
"clearinghous",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"clearinghouse"
"cleveland",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"cleveland"
"client",6,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"client"
"climat",0,0,2,5,2,3,3,4,7,11,4,4,2,1,28,18,"climate"
"climatesmart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"climatesmart"
"climb",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"climb"
"cline",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cline"
"cling",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"clinging"
"clinton",0,0,0,0,0,11,22,27,7,32,17,17,0,0,0,0,"clinton"
"clintonputin",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"clintonputin"
"cloak",0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,"cloak"
"close",7,15,5,5,3,6,8,15,18,25,21,28,7,6,15,5,"close"
"closer",1,2,1,4,1,0,1,5,6,7,4,2,0,1,0,0,"closer"
"closest",1,1,2,1,0,0,0,1,0,0,0,0,0,5,3,2,"closest"
"closur",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"closure"
"cloud",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"cloud"
"club",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"club"
"coal",0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,"coal"
"coalesc",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"coalesce"
"coalfir",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"coalfired"
"coalit",4,4,1,6,7,4,6,6,9,11,11,13,11,4,6,7,"coalition"
"coast",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"coast"
"coastal",0,2,1,1,0,1,2,2,0,0,0,0,0,0,0,1,"coastal"
"coca",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"coca"
"cocain",0,0,2,3,0,1,1,1,0,1,0,1,0,0,0,0,"cocaine"
"cochair",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"cochaired"
"cocom",1,3,2,3,2,1,1,2,0,0,0,0,0,0,0,0,"cocom"
"cocomcontrol",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"cocomcontrolled"
"code",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,"code"
"codifi",1,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,"codified"
"coercion",2,6,2,2,0,1,1,1,5,6,5,4,2,4,1,3,"coercion"
"coerciv",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"coercive"
"coexist",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"coexistence"
"coguarantor",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"coguarantor"
"coher",1,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,"coherence"
"cohes",1,3,1,1,0,0,0,0,1,1,1,1,0,0,0,1,"cohesion"
"cohost",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"cohosted"
"coincid",1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,"coincide"
"cold",0,0,3,11,16,15,19,12,9,7,2,11,7,1,8,2,"cold"
"cole",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"cole"
"collabor",1,4,0,1,0,0,0,0,0,0,0,0,0,0,10,5,"collaborate"
"collaps",0,0,0,4,3,2,2,3,1,1,2,4,1,0,2,0,"collapse"
"collater",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"collateral"
"collect",5,8,5,4,15,8,10,9,5,16,18,17,4,3,15,15,"collect"
"colleg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"college"
"collid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"collide"
"collus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"collusion"
"cologn",0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,"cologne"
"colombia",1,0,0,1,0,0,0,0,2,0,7,8,3,2,0,3,"colombia"
"colombian",0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,"colombian"
"coloni",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"colonial"
"colonist",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"colonists"
"color",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"color"
"colorado",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"colorado"
"columbia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"columbia"
"com",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"com"
"combat",14,7,3,9,5,10,17,27,12,36,21,29,6,4,14,11,"combat"
"combatreadi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"combin",3,4,2,2,5,5,4,9,8,10,9,11,1,3,1,5,"combination"
"combinedarm",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"combinedarms"
"combust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"combustible"
"come",8,7,6,7,3,4,5,4,7,7,5,7,10,5,14,5,"come"
"comfort",0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,"comfort"
"comiti",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,""
"command",10,5,7,3,0,8,7,11,4,8,11,18,3,3,0,0,"command"
"commandandcontrol",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"commandandcontrol"
"commanderinchief",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"commanderinchief"
"commandkorean",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"commandkorean"
"commenc",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,"commence"
"commend",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"commend"
"commensur",1,1,0,0,1,1,3,3,3,3,3,3,0,0,2,1,"commensurate"
"commerc",1,2,1,2,0,2,3,3,4,15,12,13,4,1,6,5,"commerce"
"commerceadminist",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"commerceadministered"
"commerci",4,3,2,6,3,1,3,5,9,21,18,17,0,0,2,3,"commercial"
"commercialsector",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"commercialsector"
"commi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"commi"
"commiss",5,1,1,1,4,0,3,4,3,6,7,4,0,2,2,1,"commission"
"commission",0,0,0,0,0,2,2,2,1,1,1,1,0,0,0,0,"commission"
"commit",30,30,28,23,19,45,59,60,39,58,62,69,19,31,50,32,"commit"
"committe",0,3,2,1,2,1,1,2,3,6,5,3,1,0,0,0,"committed"
"commod",0,3,0,0,0,0,0,0,0,4,2,0,0,0,2,0,"commodities"
"commodityexport",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"commodityexporting"
"commoditylevel",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"commoditylevel"
"common",8,10,15,12,3,8,6,12,10,17,12,13,17,10,32,6,"common"
"commonplac",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"commonplace"
"commonwealth",0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,"commonwealth"
"commonwealthth",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"commonwealththe"
"communic",10,13,6,3,3,3,5,5,3,7,7,11,0,2,15,2,"communicate"
"communiqué",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"communiqué"
"commu",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"communicates"
"communiqu",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"communiqué"
"communism",1,0,2,2,4,1,3,5,2,1,1,1,0,1,1,0,"communism"
"communist",4,6,5,4,8,5,4,4,1,1,0,2,2,0,0,0,"communist"
"communiti",1,7,13,15,11,24,29,43,22,42,40,52,9,22,45,19,"communities"
"communitya",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"communitya"
"communitybas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"communitybased"
"comoro",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"comoros"
"comp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"comp"
"compa",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"compa"
"compact",0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"compact"
"compani",0,0,0,1,0,5,5,5,7,10,11,15,2,0,3,2,"companies"
"compar",4,2,1,4,0,1,1,1,0,0,1,1,0,0,0,2,"comparable"
"compass",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"compass"
"compassion",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"compassion"
"compat",2,0,0,0,0,2,2,2,0,2,2,2,0,0,0,0,"compatibility"
"compel",1,2,0,1,0,0,0,0,1,3,1,4,3,1,0,0,"compel"
"compens",1,3,0,0,0,1,1,1,0,0,0,1,0,0,0,1,"compensate"
"compet",3,1,2,5,0,3,3,3,4,5,3,4,2,3,6,5,"compete"
"competit",8,9,12,13,11,9,11,11,12,21,16,27,4,1,15,10,"competition"
"competitor",0,1,0,3,1,0,0,0,1,2,1,1,0,2,2,0,"competitor"
"complement",4,4,1,0,0,4,3,3,3,8,4,7,0,0,3,1,"complement"
"complementari",0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,""
"complet",5,3,9,9,4,3,5,7,6,3,7,12,4,6,6,2,"complete"
"complex",9,2,4,6,4,4,4,4,3,6,5,2,4,0,2,2,"complex"
"compli",2,2,0,1,0,1,1,1,1,4,3,3,0,0,0,0,"compliance"
"complianc",3,1,2,2,2,4,4,4,4,11,7,6,0,3,3,0,"compliance"
"compliant",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"compliant"
"complic",1,1,1,2,1,1,1,0,1,1,1,2,1,0,0,0,"complicate"
"compon",8,9,7,7,1,3,3,4,2,2,4,7,0,1,7,0,"compon"
"comport",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"comports"
"compos",2,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,"composed"
"composit",1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"composition"
"compound",3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,"compound"
"compr",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"compre"
"comprehend",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"comprehend"
"comprehens",1,2,6,2,1,13,15,23,13,17,13,16,6,5,20,8,"comprehensive"
"compris",0,1,0,0,0,0,1,1,1,0,1,4,0,0,3,0,"comprise"
"compromis",0,1,3,1,0,0,1,1,0,1,1,0,2,2,2,0,"compromise"
"comput",1,0,0,0,0,1,1,3,1,5,10,15,0,0,0,0,"computer"
"computergener",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"computergenerated"
"computerrel",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"computerrelated"
"comun",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"comunity"
"con",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"con"
"conceal",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"conceal"
"conceiv",1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"conceivable"
"concen",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"concen"
"concentr",0,1,2,1,1,0,0,0,1,2,1,1,0,0,0,2,"concentrate"
"concept",7,11,1,4,3,1,1,1,3,0,1,8,3,0,3,0,"concept"
"conceptu",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"conceptual"
"concern",13,15,7,16,3,10,12,15,8,16,18,19,7,8,11,3,"concern"
"concerni",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"concerni"
"concert",2,1,2,1,3,6,6,8,5,9,12,13,0,4,4,2,"concert"
"concess",0,0,0,0,0,1,1,1,1,2,1,1,1,0,0,0,"concessions"
"conclu",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"conclu"
"conclud",3,3,1,1,2,1,3,8,3,2,3,10,1,2,0,0,"conclude"
"conclus",1,2,2,1,1,4,8,5,3,5,3,6,0,3,3,4,"conclusion"
"concomit",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"concomitant"
"concord",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"concord"
"concret",0,1,0,2,0,0,0,1,2,6,3,5,3,2,0,0,"concrete"
"concurr",4,2,0,0,0,0,0,0,2,1,2,2,0,1,0,0,"concurr"
"condemn",0,0,0,0,0,0,0,2,1,2,1,0,0,2,0,1,"condemn"
"condit",3,3,12,2,6,2,4,11,7,8,10,15,7,3,5,2,"condition"
"condon",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"condone"
"conduc",0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,1,"conducive"
"conduct",7,15,4,1,4,5,6,9,4,12,10,10,4,6,5,5,"conduct"
"cone",0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,"cone"
"confer",1,2,4,6,5,10,14,20,1,4,3,4,1,0,1,0,"conference"
"confid",3,10,4,5,5,3,6,8,4,13,13,13,2,0,5,5,"confidence"
"confidencebuild",0,0,2,3,1,1,0,3,2,3,2,4,0,0,0,1,"confidencebuilding"
"confidenti",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"confidential"
"configur",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"configurations"
"confin",0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"confined"
"confirm",0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,"confirm"
"confl",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"confl"
"confla",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"confla"
"conflic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conflic"
"conflict",61,44,32,17,24,32,28,36,36,35,41,61,13,37,29,26,"conflict"
"conflictaffect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"conflictaffected"
"conflictcannot",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conflictcannot"
"conflictparti",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conflictparti"
"conflictpron",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"conflictprone"
"conflictssuch",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conflictssuch"
"conflid",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conflid"
"conform",0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,"conform"
"confront",4,9,5,10,7,2,3,5,5,8,3,11,7,13,19,8,"confront"
"congo",0,0,0,0,1,0,0,1,0,5,3,2,0,0,0,1,"congo"
"congress",25,28,8,5,1,15,14,15,10,13,11,8,4,5,6,8,"congress"
"congressa",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"congressa"
"congression",4,10,3,1,0,3,3,2,3,6,3,3,0,1,0,0,"congressional"
"congressionallymand",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"congressionallymandated"
"congruent",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"congruent"
"conjunct",1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,"conjunction"
"connect",0,0,2,0,0,0,0,1,0,1,1,3,1,2,12,6,"connect"
"conom",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"conomic"
"conomi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conomic"
"conquer",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"conquering"
"conscienc",0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,0,"conscience"
"conscienti",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"conscientious"
"conscious",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conscious"
"consensus",1,6,4,5,1,2,4,7,2,5,5,3,2,5,3,5,"consensus"
"consent",0,1,0,2,1,1,2,9,0,6,9,6,0,0,1,1,"consent"
"consequ",1,6,0,4,0,3,4,6,4,11,3,12,3,8,10,4,"consequence"
"consequenti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"consequential"
"conserv",0,0,1,0,0,3,3,4,1,3,2,3,1,0,1,0,"conservation"
"consi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"consider"
"consid",4,5,1,2,1,4,7,10,1,2,4,7,1,2,1,0,"consider"
"consider",4,2,2,2,0,1,3,2,3,3,1,2,0,1,0,0,"consider"
"consign",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"consigned"
"consist",14,16,9,4,3,2,4,7,4,5,6,11,2,3,12,8,"consist"
"consolid",0,2,1,4,1,5,9,11,6,5,4,9,0,4,0,5,"consolidate"
"conson",0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,"consonance"
"conspiraci",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,""
"constanc",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"constancy"
"constant",3,5,1,0,1,0,0,0,1,3,1,0,1,0,5,1,"constant"
"constel",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"constellation"
"constitu",1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,"constituencies"
"constitut",6,8,5,2,1,7,8,10,4,2,3,6,1,4,10,2,"constitute"
"constitutionallyelect",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"constitutionallyelected"
"constrain",1,0,2,1,1,1,1,3,0,1,2,3,0,0,4,0,"constrain"
"constraint",1,1,1,1,0,2,2,1,0,1,0,0,0,1,1,1,"constraints"
"constrict",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"constrict"
"construct",4,7,3,4,0,2,8,8,12,11,9,11,3,0,6,2,"construct"
"constructionon",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"constructionone"
"consu",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"consu"
"consul",0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,"consular"
"consular",0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,"consular"
"consult",2,9,1,3,1,4,6,10,4,8,9,7,4,0,4,0,"consult"
"consum",0,0,0,1,1,3,3,2,1,5,3,6,0,1,5,3,"consume"
"consumpt",1,0,0,1,0,4,4,4,1,3,0,0,0,0,0,1,"consumption"
"contact",3,4,7,3,2,4,7,5,1,6,3,6,0,0,1,0,"contact"
"contagi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"contagion"
"contagion",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"contagion"
"contain",10,4,10,3,9,11,9,8,5,8,8,14,3,0,6,2,"contain"
"contamin",0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,"contaminated"
"contem",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"contem"
"contempl",0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,"contemplate"
"contemporari",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,""
"contend",0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,"contend"
"content",0,2,1,1,1,1,2,1,0,2,0,2,1,2,2,1,"content"
"contenti",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"contentious"
"contest",1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,1,"contest"
"context",3,6,2,1,2,3,2,2,3,3,0,1,1,9,3,0,"context"
"conti",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conti"
"contigu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"contiguous"
"contin",2,5,0,7,3,4,3,3,0,3,3,6,5,3,3,2,"continent"
"continent",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"continent"
"conting",11,7,5,13,2,4,5,4,6,13,11,17,1,1,2,2,"contingencies"
"continu",71,89,56,44,58,46,51,73,84,128,124,182,24,41,84,58,"continu"
"contract",0,0,1,0,1,0,0,1,0,1,1,1,0,0,4,0,"contract"
"contractor",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"contractors"
"contradict",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"contradiction"
"contradictori",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"contrari",0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,""
"contrast",4,4,2,0,0,0,0,0,0,0,0,0,0,0,3,2,"contrast"
"contribu",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"contribu"
"contribut",32,23,14,13,12,12,13,26,7,17,13,15,8,7,11,9,"contribute"
"contributor",0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,"contributor"
"control",43,23,27,31,31,33,38,48,26,59,61,82,4,14,8,0,"control"
"conv",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conv"
"conven",0,0,0,0,0,3,3,3,0,3,0,0,0,0,1,0,"convene"
"convent",35,41,15,15,14,11,21,38,17,40,27,30,3,4,4,2,"convention"
"converg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"convergence"
"convers",0,0,0,0,2,2,3,2,2,2,1,1,0,1,0,0,"conversely"
"convert",1,1,1,0,1,1,2,2,0,0,1,0,0,0,0,0,"convert"
"convey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"convey"
"convict",0,1,1,0,0,1,1,2,0,0,0,0,4,0,1,1,"conviction"
"convinc",1,2,1,0,1,1,1,3,1,5,5,4,1,2,1,0,"convince"
"cooper",22,37,24,29,28,41,50,67,43,106,87,110,24,30,93,21,"coopera"
"coopera",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"coopera"
"cooperationfost",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"cooperationfostering"
"coorain",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"cooraination"
"coordin",6,10,6,2,4,8,12,13,7,15,10,28,5,10,16,0,"coordinate"
"cope",0,1,0,1,0,2,2,2,0,1,1,1,2,0,0,0,"cope"
"copenhagen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"copenhagen"
"copi",0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,"copies"
"cor",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"cor"
"coral",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"coral"
"core",0,2,2,2,1,3,4,5,7,11,11,8,5,3,3,8,"core"
"cornafi",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cornafi"
"corner",0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,2,"corner"
"cornerston",3,1,2,0,0,0,0,0,2,4,4,5,0,0,2,2,"cornerstone"
"corp",2,2,1,5,0,0,0,0,1,2,0,3,0,2,0,0,"corporate"
"corpor",0,0,1,2,1,0,0,0,0,0,2,4,0,1,2,0,"corporate"
"correct",2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"correct"
"correl",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"correlation"
"correspond",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,"corresponding"
"corrod",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"corrodes"
"corros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"corrosive"
"corrup",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"corrup"
"corrupt",0,0,0,0,0,1,1,4,6,15,17,18,4,18,8,12,"corrupt"
"coser",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"coser"
"coslil",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"coslil"
"cost",14,14,10,6,3,9,16,21,10,9,16,21,2,1,11,14,"cost"
"costa",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,"costa"
"costeffect",1,1,2,1,0,0,0,0,0,0,0,1,0,0,2,0,"costeffective"
"costeffici",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"costefficient"
"costlier",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"costlier"
"cote",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"cote"
"council",3,1,5,4,6,4,5,6,5,14,16,17,2,1,9,0,"council"
"count",0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,"count"
"counter",8,7,1,3,3,5,6,6,11,30,22,23,2,9,10,11,"counter"
"counterdrug",0,0,0,0,1,0,0,0,1,4,6,7,0,0,0,0,"counterdrug"
"counterfeit",0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,"counterfeiting"
"counterforc",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"counterforce"
"counterinsurg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"counterinsurgency"
"counterintellig",1,0,1,1,1,2,4,2,1,4,4,5,0,0,0,0,"counterintelligence"
"countermeasur",1,0,1,0,0,0,1,0,0,0,1,4,0,1,1,0,"countermeasures"
"counternarcot",0,0,1,0,0,3,4,3,3,7,1,1,0,1,0,0,"counternarcotics"
"counterpart",0,0,1,0,0,0,0,0,1,3,2,2,0,0,3,0,"counterparts"
"counterprolifer",0,0,0,0,0,2,3,2,0,1,1,4,2,2,0,0,"counterproliferation"
"counterterror",1,0,0,0,2,6,7,11,2,3,1,12,2,1,9,6,"counterterrorism"
"counterterrorist",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"counterterrorist"
"countervail",1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,"countervailing"
"counterweight",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"counterweight"
"countless",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"countless"
"countri",37,78,29,41,24,30,37,61,50,88,84,132,34,59,70,44,"countrie"
"countryspecif",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"countryspecific"
"coup",0,0,0,0,0,2,3,3,1,0,1,1,0,0,0,0,"coup"
"coupl",1,0,1,0,0,2,2,2,0,2,0,0,0,0,1,0,"couple"
"courag",1,2,1,0,1,0,0,1,0,0,0,0,1,0,2,0,"courage"
"cours",8,4,2,10,1,1,2,1,1,6,4,6,0,1,5,1,"course"
"court",0,0,0,0,0,0,0,1,1,2,0,1,2,1,3,1,"court"
"cover",0,0,1,1,1,1,0,2,4,9,1,5,0,2,0,1,"cover"
"covert",1,6,1,0,1,0,0,0,0,1,1,0,1,0,0,0,"covert"
"cpeljefd",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cpeljefde"
"crack",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,"crack"
"crackdown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"crackdowns"
"cradletograv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"cradletograve"
